kml_id;district;type;address
939015534;Аэропорт;Спортивная площадка;Усиевича ул. 23
939015540;Аэропорт;Детская площадка;Усиевича ул. 23
939015544;Аэропорт;Детская площадка;Усиевича ул. 23
939015552;Аэропорт;Спортивная площадка;Усиевича ул. 23
887180562;Аэропорт;Детская площадка;Усиевича ул. 25 к.3
1149754586;Аэропорт;Детская площадка;"Балтийская ул. 4; Ленинградский просп. 78 к.4, 78 к.5"
1149754588;Аэропорт;Спортивная площадка;"Балтийская ул. 4; Ленинградский просп. 78 к.4, 78 к.5"
894970996;Аэропорт;Детская площадка;"Лизы Чайкиной ул. 6; Усиевича ул. 21"
921595321;Аэропорт;Спортивная площадка;Ленинградский просп. 66
921595323;Аэропорт;Детская площадка;Ленинградский просп. 66
917604595;Аэропорт;Детская площадка;Лизы Чайкиной ул. 4 к.1
917604597;Аэропорт;Детская площадка;Лизы Чайкиной ул. 4 к.1
948004817;Аэропорт;Детская площадка;Балтийская ул. 6 к.1, 6 к.2, 6 к.3
948004819;Аэропорт;Спортивная площадка;Балтийская ул. 6 к.1, 6 к.2, 6 к.3
1200629012;Аэропорт;Детская площадка;Планетная ул. 18
873374115;Аэропорт;Детская площадка;Зыковский Стар. пр. 4, 6 к.1
873374121;Аэропорт;Детская площадка;Зыковский Стар. пр. 4, 6 к.1
943606854;Аэропорт;Детская площадка;Красноармейская ул. 16, 20, 22
989354990;Аэропорт;Детская площадка;Балтийский 1-й пер. 4
991507405;Аэропорт;Спортивная площадка;Шебашевский пр. 6, 8 к.1, 8 к.2
991507409;Аэропорт;Детская площадка;Шебашевский пр. 6, 8 к.1, 8 к.2
991507413;Аэропорт;Детская площадка;Шебашевский пр. 6, 8 к.1, 8 к.2
991507415;Аэропорт;Детская площадка;Шебашевский пр. 6, 8 к.1, 8 к.2
902900319;Аэропорт;Детская площадка;Часовая ул. 10/1, 12, 14
902900321;Аэропорт;Детская площадка;Часовая ул. 10/1, 12, 14
886051052;Аэропорт;Детская площадка;"Самеда Вургуна ул. 11; Часовая ул. 15"
886051056;Аэропорт;Спортивная площадка;"Самеда Вургуна ул. 11; Часовая ул. 15"
908608233;Аэропорт;Детская площадка;"Асеева ул. 2; Усиевича ул. 10А"
1202569836;Аэропорт;Детская площадка;Балтийский 3-й пер. 4 к.2, 4 к.3, 4 к.4
1202569840;Аэропорт;Детская площадка;Балтийский 3-й пер. 4 к.2, 4 к.3, 4 к.4
1202569866;Аэропорт;Спортивная площадка;Балтийский 3-й пер. 4 к.2, 4 к.3, 4 к.4
989390557;Аэропорт;Детская площадка;"Масловка Верхн. ул. 11, 9; Петровско-Разумовская аллея 8"
989340941;Аэропорт;Детская площадка;Часовая ул. 7 к.1, 7 к.2
936656369;Аэропорт;Детская площадка;Коптевский Б. пр. 14 к.1, 14 к.2, 14 к.3, 14 к.4
936656373;Аэропорт;Детская площадка;Коптевский Б. пр. 14 к.1, 14 к.2, 14 к.3, 14 к.4
936656379;Аэропорт;Детская площадка;Коптевский Б. пр. 14 к.1, 14 к.2, 14 к.3, 14 к.4
902928883;Аэропорт;Детская площадка;Амбулаторный 1-й пр. 7 к.3
908578645;Аэропорт;Детская площадка;Коккинаки ул. 2
990228105;Аэропорт;Детская площадка;8 Марта улица 4-я 4 к.1, 4 к.2
1000146049;Аэропорт;Детская площадка;Балтийский 3-й пер. 6 к.2, 6 к.3
1000146051;Аэропорт;Детская площадка;Балтийский 3-й пер. 6 к.2, 6 к.3
849437198;Аэропорт;Спортивная площадка;Черняховского ул. 17 к.1, 17 к.2, 17 к.3, 17 к.4
917843488;Аэропорт;Детская площадка;Степана Супруна ул. 4
991236196;Аэропорт;Детская площадка;Черняховского ул. 9 к.1, 9 к.2, 9 к.3
905034621;Аэропорт;Детская площадка;Планетная ул. 13, 15, 17
947998406;Аэропорт;Детская площадка;Коптевский Б. пр. 12 к.1, 12 к.2
